Zone, Enrollment, PwD-Status, PaperCode1, PaperCode2, registrationId1, registrationId1, City-Choice1, City-Choice2, City-Choice3, ChoiceNumber
Zone4, C115Z17, false, CY, null, null, null, 31, 30, 18, -1
Zone3, C115Z26, false, CY, null, null, null, 27, 19, 18, -1
Zone4, C121Y97, false, CY, null, null, null, 31, 30, 34, -1
Zone3, C117V60, false, BT, null, null, null, 27, 18, 19, -1
Zone3, C123V78, false, CY, null, null, null, 27, 18, 21, -1
Zone4, C124H56, false, PH, null, null, null, 31, 30, 27, -1
Zone3, C117W80, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C117K36, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C117K32, false, CY, null, null, null, 27, 18, 62, -1
Zone4, C122S35, false, BL, null, null, null, 31, 30, 34, -1
Zone3, C103P64, false, CY, null, null, null, 27, 18, 57, -1
Zone3, C112B65, false, CY, null, null, null, 27, 20, 19, -1
Zone3, C105H23, false, GG, null, null, null, 27, 18, 62, -1
Zone3, C121B65, false, CY, null, null, null, 27, 21, 24, -1
Zone3, C122E51, false, CY, null, null, null, 27, 21, 18, -1
Zone4, C127Q78, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C123F91, false, CY, null, null, null, 31, 30, 34, -1
Zone4, C112D80, false, PH, null, null, null, 31, 30, 34, -1
Zone4, C122E41, false, BL, null, null, null, 31, 30, 44, -1
Zone3, C118M13, false, CY, null, null, null, 27, 18, 21, -1
Zone3, C121P62, false, CY, null, null, null, 27, 18, 20, -1
Zone4, C121Z15, false, GG, null, null, null, 31, 30, 34, -1
Zone3, C121P65, false, CY, null, null, null, 27, 21, 18, -1
Zone3, C121N60, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C120E70, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C113B19, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C118M12, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C121P95, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C121P97, false, BT, null, null, null, 27, 18, 62, -1
Zone3, C118V80, false, CY, null, null, null, 27, 21, 59, -1
Zone3, C121M56, false, CY, null, null, null, 27, 18, 20, -1
Zone3, C112Y36, false, CY, null, null, null, 27, 18, 20, -1
Zone5, C126C99, true, BT, null, null, null, 39, 40, 27, -1
Zone3, C113D40, false, CY, null, null, null, 27, 18, 62, -1
Zone3, C122D87, false, MS, null, null, null, 27, 21, 18, -1
Zone3, C109P18, false, CY, null, null, null, 27, 18, 62, -1
